place,市区町村,町目番地,経度,緯度
吉祥吉　三宮,神戸市中央区,三宮町1丁目9-1,135.1922504,34.6916911
神戸牛　29,神戸市中央区,三宮町1丁目9－1ー9,135.1922504,34.6916911
神戸牛らーめん　八坐和,神戸市中央区,三宮町２丁目11-1,135.1911671,34.6911162
神戸　たん龍　生田新道店,神戸市中央区,中山手通1丁目1－1,135.1923503,34.6940881
神戸牛　高倉,神戸市中央区,中山手通1丁目2－10,135.1919892,34.6940658
神戸牛　なみ木,神戸市中央区,中山手通１丁目４ー8,135.1916476,34.6938158
神戸牛   石窯焼 吉らら,神戸市中央区,中山手通1丁目4－7,135.1916726,34.6937714
神戸牛　八坐和　阪急三宮店,神戸市中央区,北長狭通1丁目6-1,135.1921059,34.6933131
神戸牛　喜山,神戸市中央区,北長狭通２丁目12－6,135.191206,34.6927826
神戸牛　煌寿 (コウジュ）,神戸市中央区,北長狭通２丁目12－6,135.191206,34.6927826
神戸牛吉祥吉　磯上,神戸市中央区,磯上通7丁目1-25,135.1974749,34.6922495
神戸牛　栄吉,神戸市中央区,栄町通1丁目3－10,135.1881786,34.6878998
KOBE BEEF　RED ONE,神戸市中央区,元町通1丁目10-4,135.1881147,34.6888219
神戸牛　本部,神戸市中央区,元町通1丁目10-4,135.1881147,34.6888219
神戸牛　黒澤,神戸市中央区,元町通1丁目6－20,135.1884619,34.6884553
吉祥吉　南京町,神戸市中央区,元町通2丁目1－14,135.1879481,34.6881192
吉祥吉　本店,神戸市中央区,元町通2丁目4－14,135.187137,34.6880442
神戸牛焼肉　八坐和,神戸市中央区,三宮町2丁目3-1,135.1918866,34.6899358
神戸牛みやび,神戸市中央区,三宮町2丁目8－3,135.1913144,34.6905051
神戸牛　源吉,神戸市中央区,中山手通1丁目4－23,135.1919114,34.6941436
吉祥吉　本部,神戸市中央区,栄町通1丁目2-1,135.189384,34.687978
神戸牛　大地,神戸市中央区,元町通1丁目1－3,135.1892424,34.6884137
神戸牛　八坐和　WEST,神戸市中央区,元町通３丁目2-１,135.1864704,34.6876804
神戸牛　天望(アマミ）,神戸市中央区,北長狭通1丁目5-8,135.192167,34.6936187
中突堤中央ビル,神戸市中央区,波止場町504,135.1880149,34.683792
かもめりあ,神戸市中央区,波止場町7-1,135.1850234,34.6825282
摩耶ケーブル　虹の駅,神戸市灘区,畑原,135.212607,34.727239
風見鶏の館,神戸市中央区,北野町3-13-3,135.1894753,34.7013955
摩耶ケーブル　星の駅,神戸市灘区,摩耶山町2-2,135.2059455,34.7336976
摩耶ケーブル下駅,神戸市灘区,箕岡通4-2,135.2165974,34.7200996
北野観光案内所,神戸市中央区,北野町3丁目10-20,135.1898475,34.701376
菊正宗酒造記念館,神戸市東灘区,魚崎西町1丁目9-1,135.2678885,34.7086123
CHEST　COQOO,神戸市中央区,栄町通1-2-10,135.188495,34.687716
GOLF MAP三宮,神戸市中央区,加納町4-10-20,135.1935529,34.6965017
やきとり りんぐ六甲道,神戸市灘区,永手町3-4-19,135.2392487,34.7165335
味加味,神戸市中央区,加納町2-5-9,135.1938222,34.7003818
とりひげ王子公園支店,神戸市灘区,倉石通6-1-17,135.2207194,34.7123173
ラーメンみなとや,神戸市中央区,中山手通1-2-13,135.1919809,34.6938686
CHEST神戸本店,神戸市中央区,明石町30,135.1912756,34.6878554
SPANISH BAR OSO,神戸市中央区,下山手通2-17-10,135.1899227,34.6942658
モトコーORANGE,神戸市中央区,元町高架通2-190,135.1807348,34.6852806
amcrowd,神戸市中央区,元町高架通2-195,135.183346,34.687594
KAJUの木,神戸市中央区,元町高架通2-200,135.183346,34.687594
NECROMANCE,神戸市中央区,元町高架通2-203,135.1807348,34.6852806
内海オート商会,神戸市中央区,元町高架通3-216,135.180382,34.6853889
淡路屋,神戸市中央区,元町高架通3番297号,135.180382,34.6853889
加川珍花園,神戸市中央区,元町通4-6-2,135.1807348,34.6852806
元町軒サンプラザ店,神戸市中央区,三宮町1-8-1,135.1932475,34.6922883
豚骨屋,神戸市中央区,北長狭通1-31-40,135.1913671,34.692516
風見鶏本舗,神戸市中央区,北野町3-5-5,135.1899059,34.7007344
六甲ケーブル下駅,神戸市灘区,高羽字西山8-2,135.2335679,34.737356
フクヤ 三宮店,神戸市中央区,三宮町1-5-29,135.1941613,34.6918772
フクヤ 東急プラザ新長田店,神戸市長田区,若松町5-5-1,135.1446242,34.6564939
やきとり りんぐ新在家,神戸市灘区,新在家北町1-2-15,135.2401183,34.7104676
神戸市立中央図書館,神戸市中央区,楠町7-2-1,135.1741492,34.6856249
フクヤ 垂水店,神戸市垂水区,日向町1-4-1,135.0557383,34.6304795
神戸国際会議場,神戸市中央区,港島中町6-9-1,135.2130103,34.6662412
グリルド神戸,神戸市中央区,北長狭通2-5-1,135.1902117,34.6918077
三宮プラッツ,神戸市中央区,三宮1丁目1番,135.1941697,34.690894
フェリーさんふらわあ,神戸市東灘区,向洋町東3丁目1-1,135.2824401,34.6970634
タナゴコロータス,神戸市中央区,栄町通2-1-3,135.188062,34.6868194
神姫バス株式会社,神戸市中央区,琴ノ緒町4,135.1949611,34.6970211
鯰学舎,神戸市中央区,神戸港地方再度谷118,135.1769374,34.7139745
神戸炭火焼鳥まさとや岩屋店,神戸市東灘区,岩屋北町5丁目1-8-101,135.2824401,34.6970634
神戸炭火焼鳥まさとや住吉本館,神戸市東灘区,住吉宮町4丁目3-13-105,135.262047,34.718875
神戸炭火焼鳥まさとや新在家店,神戸市灘区,新在家北町1-18,135.2405488,34.7102843
エネオスドクタードライブ（三宮店）,神戸市中央区,雲井通3丁目1-7,135.199644,34.6956991
こあみなか本店,神戸市灘区,高徳町5-1-3,135.24046,34.7187
神戸医薬研究所,神戸市東灘区,住吉本町2-19-29,135.259942,34.721677
大丸神戸店,神戸市中央区,明石町40,135.1904506,34.6886775
三宮中央図書館,神戸市中央区,雲井通5-1-2,135.1973998,34.694927
神戸スカイアドベンチャーすずらん,神戸市北区,山田町小部妙賀山11-1,135.1592021,34.7349081
カフェHALU HALU,神戸市長田区,水笠通3-1-1,135.1430797,34.6600574
沢の鶴資料館,神戸市灘区,大石南町１-29-1,135.2331411,34.7032768
神戸トリックアート不思議な領事館,神戸市中央区,北野町2-10-7,135.1908613,34.700915
坂の上の異人館,神戸市中央区,北野町2-18-2,135.1915001,34.7031342
北野外国人倶楽部,神戸市中央区,北野町2-18-2,135.1915001,34.7031342
うろこの家,神戸市中央区,北野町2-20-4,135.1906668,34.7029592
山手八番館,神戸市中央区,北野町2-20-7,135.1906224,34.702787
英国館,神戸市中央区,北野町2-3-16,135.1911974,34.7007428
仏蘭西館,神戸市中央区,北野町2-3-18,135.1913918,34.7008622
ベンの家,神戸市中央区,北野町2-3-21,135.1915335,34.7009289
神戸ファッション美術館,神戸市東灘区,向洋町中2-9-1,135.270184,34.688027
天覧台・TENRAN CAF?,神戸市灘区,六甲山町一ケ谷1-32,135.2368845,34.751943
六甲高山植物園,神戸市灘区,六甲山町北六甲4512?150,135.2405025,34.761861
六甲オルゴールミュージアム,神戸市灘区,六甲山町北六甲4512-145,135.238392,34.761672
六甲山カンツリーハウス,神戸市灘区,六甲山町北六甲4512-98,135.2422755,34.766667
六甲ガーデンテラス（１）,神戸市灘区,六甲山町五介山1877-9,135.247734,34.764418
六甲ガーデンテラス（２）,神戸市灘区,六甲山町五介山1877-9,135.246608,34.763299
自然体感展望台 六甲枝垂れ,神戸市灘区,六甲山町五介山1877-9,135.246531,34.764367
神戸市立須磨水族園,神戸市須磨区,若宮町1-3-5,135.127673,34.643978
FREE‘S　nail,神戸市中央区,下山手通2-12-6,135.1895006,34.6932298
神戸三宮高架商店街（ピアザKOBE１-1）,神戸市中央区,北長狭通,135.19184,34.692198
神戸三宮高架商店街（ピアザKOBE１-2）,神戸市中央区,北長狭通,135.192134,34.692369
神戸三宮高架商店街（ピアザKOBE１-3）,神戸市中央区,北長狭通,135.192386,34.692523
神戸三宮高架商店街（ピアザKOBE２-1）,神戸市中央区,北長狭通,135.190188,34.691215
神戸三宮高架商店街（ピアザKOBE２-2）,神戸市中央区,北長狭通,135.190442,34.691368
